"metabolite"	"pathway"	"direction"	"relevance"	"caution"
"Kynurenine"	"Tryptophan catabolism / IDO1 pathway"	"Increase indicates elevated IDO1 activity driven by IFN-γ; reflects systemic low-grade inflammation"	"High"	"Interpret as Kyn/Trp ratio rather than absolute value; renal function affects clearance"
"Kynurenic acid"	"Tryptophan catabolism — neuroprotective branch (KAT enzymes)"	"Increase relative to quinolinic acid indicates a shift toward the neuroprotective IDO1 branch; generally favourable"	"High"	"Ratio to quinolinic acid is more informative than absolute level"
"Quinolinic acid"	"Tryptophan catabolism — neurotoxic branch (ACMSD deficit)"	"Increase indicates shunting toward the neurotoxic IDO1 branch; associated with insulin resistance and neuroinflammation"	"High"	"None specific to this platform"
"TMAO"	"Gut microbiome / choline and carnitine catabolism"	"Decrease expected with exercise; reflects gut microbiome remodelling and reduced pro-inflammatory signalling"	"High"	"Strongly diet-dependent; dietary recall data should be collected at both timepoints"
"Carnitine (C0)"	"Fatty acid transport into mitochondria"	"Free carnitine may decrease as acylcarnitine production increases with improved fatty acid oxidation during exercise training"	"High"	"Interpret C0 alongside C2 and long-chain acylcarnitines as a ratio"
"Acetylcarnitine (C2)"	"Mitochondrial acetyl-CoA buffering"	"Increase with exercise training; reflects increased mitochondrial flux and improved metabolic flexibility"	"High"	"C2/C0 ratio is the key metric; absolute C2 less informative alone"
"Palmitoylcarnitine (C16)"	"Long-chain fatty acid beta-oxidation"	"Decrease with exercise training; elevated C16 at baseline indicates incomplete fatty acid oxidation and insulin resistance"	"High"	"FIA-MS/MS: isomer co-elution possible; treat as class signal"
"Cortisol"	"HPA axis / glucocorticoid stress response"	"Acute increase post-exercise; chronic training may reduce resting cortisol, reflecting improved stress adaptation"	"Medium"	"Diurnal variation is large; samples must be collected at a consistent time of day at both T0 and T1"
"DHEAS"	"Adrenal androgen / anti-inflammatory axis"	"Increase with regular exercise; higher DHEAS/cortisol ratio indicates reduced allostatic load"	"Medium"	"Age-dependent decline; adjust for age in analysis"
"ADMA"	"Arginine methylation / endothelial NOS inhibition"	"Decrease expected with reduced inflammation; elevated ADMA inhibits nitric oxide production and predicts cardiovascular risk"	"High"	"Renal clearance affects levels; eGFR should be recorded"
"Homocysteine"	"One-carbon / methionine cycle"	"Decrease with B-vitamin sufficiency and exercise; elevated levels indicate methylation impairment and cardiovascular risk"	"Medium"	"Sample handling critical — must be centrifuged promptly; erythrocyte lysis causes artefactual elevation"
"Citric acid"	"TCA cycle (tricarboxylic acid cycle)"	"Changes reflect mitochondrial TCA flux; increase with improved aerobic capacity and mitochondrial biogenesis"	"Medium"	"Dietary citrate confounds measurement; 12-hour fast required"
"Succinic acid"	"TCA cycle / succinate receptor (SUCNR1) signalling"	"Elevated succinate is a danger-associated molecular pattern (DAMP); decrease expected with reduced inflammatory tone"	"Medium"	"Can accumulate post-exercise acutely; endpoint measure more informative than early timepoints"
"Indoxyl sulfate"	"Gut microbiome / tryptophan catabolism by intestinal bacteria"	"Decrease expected with exercise-driven gut microbiome shifts; uremic toxin that activates AhR pro-inflammatory signalling"	"High"	"Renal clearance dependent; confounded in participants with reduced kidney function"
"3-Indolepropionic acid (3-IPA)"	"Gut microbiome / Clostridial tryptophan catabolism"	"Increase expected with exercise; anti-inflammatory, neuroprotective, gut barrier-protective"	"High"	"Inverse of indoxyl sulfate; these two should be reported together as a gut microbiome health index"
"Cholic acid (CA)"	"Primary bile acid / gut-liver axis"	"Exercise increases bile acid diversity and pool size; primary:secondary bile acid ratio reflects gut microbiome health"	"Medium"	"Dietary fat intake strongly influences bile acid levels; collect dietary data at both timepoints"
"Deoxycholic acid (DCA)"	"Secondary bile acid / gut bacteria (7-alpha-dehydroxylation)"	"Increase in DCA/CA ratio indicates improved gut microbiome diversity with exercise; DCA has insulin-sensitising properties"	"Medium"	"None specific to this platform"
"Serotonin"	"Biogenic amine / gut-brain axis / platelet activation"	"Increase with exercise; 95% of circulating serotonin is gut-derived; links gut microbiome to mood and metabolic outcomes"	"Medium"	"Platelet serotonin dominates plasma measurement; collection protocol (EDTA vs serum) affects values substantially"
"Spermidine"	"Polyamine metabolism / autophagy induction"	"Increase with caloric restriction and exercise; induces autophagy via eIF5A hypusination; anti-ageing associations"	"Low"	"Dietary spermidine (wheat germ, fermented foods) confounds endogenous production measurement"
"Lactic acid"	"Anaerobic glycolysis / Cori cycle"	"Resting lactate decreases with aerobic training; lactate at the same submaximal workload falls as fitness improves"	"Medium"	"Highly sensitive to sample collection conditions and time-since-last-exercise; standardise pre-sample activity window"
